doc_0	how did project manager and user interface introduce the prototype of the remote control ?	project manager introduced that the prototype incorporated fashion trends that people prefer fancy looking products like fruit and vegetable . after that , user interface presented the product which looked like a banana and was bright yellow except for the blue button . the style was as simple as possible in order to fit the customers ' need for simplicity . also , the product could be curved and used both-handed with advanced chips hidden inside , which seemed quite creative and identical to ipod features . in the end , industrial designer commented that the remote control could be smaller in size .
doc_0	what did the team discuss during the product evaluation about its feature to solve customers ' concerns ?	generally speaking , the team agreed that the product was intuitive and had successfully incorporated main aims that the team had . the team believed the customers were not likely to lose the remote control since it was big and bright yellow with speech recognition . moreover , industrial designer suggested adding an extra feature for the product to raise volume like hell when it was removed so far from the tv . however , the team also noted that costs should be compared when deciding to use annoying alarms or others .
doc_0	how did the team evaluate the product about its technologically innovative features ?	to start with , the team agreed that the remote control was indeed innovative with the lcd display incorporated and the way it could be used both-handed with an alarming feature . also , it aimed at the recent fashion trend since it looked like a banana with a special yellow colour . although some of its features were identical to an ipod , the team believed that it was a creative design for remote control .
doc_1	what did project manager think of the plastic material when discussing the product evaluation ?	the team had decided to replace the rubber with plastic due to the budget limit . when evaluating the material of the remote control , marketing admitted that sponginess was what most users desired , which was the feel given by rubber . project manager agreed . however , project manager pointed out that a plastic remote control was no worse than other remote controls in the market , so it would not be a step-back at least .
doc_1	what did user interface think of the fashion style of the remote control when discussing the product evaluation ?	marketing concluded from the market research that users expected the remote control to combine fruit and vegetable elements with its fashion design . user interface disagreed with marketing , for it was believed by user interface that fruit and vegetable style was not the sole criterion for satisfactory fashion design of the remote control . instead , user interface implicated that all designs inspired by current fashions were likely to win the users over .
doc_1	what did the group discuss about the product evaluation ?	in the product evaluation , the team was satisfied with its success in reducing the number of unused buttons . the user interface was considered to be user-friendly enough . however , the team also admitted that there was still room for improvement on the location function , technological innovation , the material , as well as the fashion style of the remote control .
doc_1	what did the group discuss about budget balancing ?	the use of the lcd screen and the advanced chip cost the team half of the expenditure . due to the budget limit , the team had to abandon some other designs such as the rubber material and the double-curved structure . the usb connection was not feasible for now as well . for the location function , a transmitter , a receiver and speakers could be incorporated on a tv instead .
doc_2	what did the meeting discuss about the advantage of the act ?	although highly challenged by the participants , kirsty williams am argued that the act had fulfilled the government 's objectives in regulating institutions , safeguarding contribution , managing fair access and protecting the principle of institutional autonomy . these strategic aims were still really important but in the new situation , it was required to recognise the higher education and research bill across the border in england . in this case , to continue fulfilling its national outcomes , the act should evolve by implementing new student support measures .
doc_2	how did sian gwenllian am ask about the quality assurance ?	sian gwenllian am argued that there was evidence regarding the difficulties caused by hefcw having a legal duty to quality-assure all the provisions in two further education colleges . this process was regarded as an anomaly or an unintended consequence of the act . sian gwenllian am wanted kirsty williams am to explain the situation in that instance and further methods to assure governing qualities .
doc_2	what was the current situation about hefcw 's powers of intervention ?	dawn bowden am challenged that informal measures or actions had been taken in their role as regulator , and kirsty williams am explained that the commission was expected to be able to have a series of abilities to intervene , from the soft , flexible type , which was non-punitive but actually allowed people to participate in it . meanwhile , huw morris suggested that specific mechanisms and informal interactions with fe college principals , with the work-based learning provider network , etc had been used to hopefully achieve some alignment in the tertiary sector . also , as a loan-based system of student finance , a system of block grant allocations and conditions could be attached to those grant allocations by hefcw when things went wrong .
doc_2	how did kirsty williams am answer sian gwenllian am 's question about quality assurance ?	kirsty williams am first explained that it was a bit difficult to put herself in the position of the former minister but it was clear that it should not be intended . however , she explained that the act was built on what were the quality assessment arrangements in the 1992 act , which required hefcw to secure arrangements for the assessment of the quality of education provided by funding institutions . so , as a consequence of that approach , hefcw 's quality assessment duty currently encompassesed all the education provided by or on behalf of a regulated institution . huw morris also helped to explain that a lot of joint operation was required during the process and the new bill would try to make that clearer .
doc_2	what did kirsty williams am react in response to concerns of the governance of universities ?	kirsty williams am first admitted that it was true that the bill did not directly address issues around governance in the sector . however , establishing a more direct relationship with chairs of universities , especially one-to-one relationships with them , had been attached much importance and it was crucial to help the government understand each aspect of issues in universities . moreover , ways to make sure that the governing bodies were diverse and it was able to include both student voice as well as the staff voice in governance going forward would be discussed in the future . kirsty williams am stressed that there were plans to engage with each of the governing bodies since the situation was getting far more complex .
doc_2	how could the act and the bill be improved ?	currently , the government planned to use the remit letter to drive transparency over senior leaders ' pay , the gender pay gap within institutions . for instance , it had been a success to use the remit letter and some funding to drive change and some improvements in mental health in the higher education sector . to conclude , kirsty williams am suggested that the new pcet reforms were aimed to create a legislative regime and a regulation regime that encouraged collaboration and co-operation across the sector .
doc_2	what had the act and the bill already achieved ?	to answer this question , kirsty williams am first introduced the achievements that the new system of student finance did again shift the parameters of influence that hefcw or any new tertiary commission could have in the different situations , as a direct result of the changing scenario . moreover , it was a great success to see all institutions sign up to becoming living wage employers , all institutions sign up to the welsh government 's code of ethical procurement .
doc_2	what did kirsty williams am say about her plan for quality assurance ?	kirsty williams am shared that the government had listened to stakeholders ' concerns regarding proposals to introduce a single quality assessment body . and she stressed that the principles underlying any assurance regime would need to be coherent , effective and comprehensive . besides , the quality framework should cover higher education to make it compatible with enqa , which was considered as highly important going forward , since it would be compatible with current uk-wide baseline standards to avoid specific problems for the he sector in wales . although it might cause a stir , a change must be made in the new situation . huw morris also suggested that greater synergy would be encouraged in the ways in which quality assurance and enhancement was undertaken in different areas of activity .
